emoji,name,category,rgi,file,url,width,height,bytes,sha256
😀,Smile,Smileys & Emotion,1f600,Smileys Emotion/smile__1f600.png,https://fonts.gstatic.com/s/e/noto3demoji/latest/1f600/512.png,512,512,158512,075a81ffc41667c4cdedfa5ec4e43cc188fcd38760b1af4101a2c82b1616be72
😃,Smile With Big Eyes,Smileys & Emotion,1f603,Smileys Emotion/smile-with-big-eyes__1f603.png,https://fonts.gstatic.com/s/e/noto3demoji/latest/1f603/512.png,512,512,171049,7cf2dc876542a9e7244742152a964eac8b8ba6e399dd2912066e718ee4033a92
😄,Grin,Smileys & Emotion,1f604,Smileys Emotion/grin__1f604.png,https://fonts.gstatic.com/s/e/noto3demoji/latest/1f604/512.png,512,512,156700,c9b7a45d41ec1ab79d171a8c7c7eb0a77725fb02ec927c6f832d66d1766593fb
😁,Grinning,Smileys & Emotion,1f601,Smileys Emotion/grinning__1f601.png,https://fonts.gstatic.com/s/e/noto3demoji/latest/1f601/512.png,512,512,160754,7e8fb0ce94ce01f0a02be7433a7ebb15869d1645b768f4332dcf3a8dacf35281
😆,Laughing,Smileys & Emotion,1f606,Smileys Emotion/laughing__1f606.png,https://fonts.gstatic.com/s/e/noto3demoji/latest/1f606/512.png,512,512,161889,f284d1a1c0acd1691b263e6bb7296a1257c08fe8c09a1260cd408078435106b3
😅,Grin Sweat,Smileys & Emotion,1f605,Smileys Emotion/grin-sweat__1f605.png,https://fonts.gstatic.com/s/e/noto3demoji/latest/1f605/512.png,512,512,166314,36954aba4f4d55187b194ee82ac12bc3d4d4cc1a606d9cd14ecc9f89e7d42d68
🤣,Rofl,Smileys & Emotion,1f923,Smileys Emotion/rofl__1f923.png,https://fonts.gstatic.com/s/e/noto3demoji/latest/1f923/512.png,512,512,186076,5075ff1ac797edea317d30a55bed96debc92856f48d53788557f53ecdea75ed4
😂,Joy,Smileys & Emotion,1f602,Smileys Emotion/joy__1f602.png,https://fonts.gstatic.com/s/e/noto3demoji/latest/1f602/512.png,512,512,190533,db725f05611f8cc7f9123bea632aacd385ccaa2cebfee00ae0386f4e9be9d33f
🙂,Slightly Happy,Smileys & Emotion,1f642,Smileys Emotion/slightly-happy__1f642.png,https://fonts.gstatic.com/s/e/noto3demoji/latest/1f642/512.png,512,512,158790,1673ed1656f21c97528364744628d7b71e5b8203984823b67edca0ab9924634e
🙃,Upside Down Face,Smileys & Emotion,1f643,Smileys Emotion/upside-down-face__1f643.png,https://fonts.gstatic.com/s/e/noto3demoji/latest/1f643/512.png,512,512,162257,f229dffcd3fcce415520a35349f2e6c79006c307ca2d6a9601d2b0e64fb8d731
